endpoint,name,methods,outcome,status_code,error_type,records,duration_seconds,note
/db/TDGR,Tendon Group,"DELETE,GET,POST,PUT",success,,,0,0.0882,
/db/TDME,Time Dependent Material - Compressive Strength,"DELETE,GET,POST,PUT",success,,,0,0.0823,
/db/TDMF,Time Dependent Material - User Defined,"DELETE,GET,POST,PUT",success,,,0,0.0932,
/db/TDMT,Time Dependent Material - Creep/Shrinkage,"DELETE,GET,POST,PUT",success,,,0,0.0932,
/db/TDNA,Tendon Profile,"DELETE,GET,POST,PUT",success,,,0,0.0903,
/db/TDNT,Tendon Property,"DELETE,GET,POST,PUT",success,,,0,0.1012,
/db/TDPL,Tendon Prestress,"DELETE,GET,POST,PUT",success,,,0,0.093,
/db/THFC,Time History Functions,"DELETE,GET,POST,PUT",success,,,0,0.0769,
/db/THGA,Ground Acceleration,"DELETE,GET,POST,PUT",success,,,0,0.0913,
/db/THIK,Thickness,"DELETE,GET,POST,PUT",success,,,0,0.0906,
/db/THIS,Time History Load Cases,"DELETE,GET,POST,PUT",success,,,0,0.0918,
/db/THMS,Multiple Support Excitation,"DELETE,GET,POST,PUT",success,,,0,0.0805,
/db/THNL,Dynamic Nodal Loads,"DELETE,GET,POST,PUT",success,,,0,0.0914,
/db/THSL,Time Varying Static Loads,"DELETE,GET,POST,PUT",success,,,0,0.0942,
/db/TMAT,Time Dependent Material Link,"DELETE,GET,POST,PUT",success,,,0,0.0931,
/db/TMLD,Time Loads for Construction Stage,"DELETE,GET,POST,PUT",success,,,0,0.0991,
/db/TSGR,Tapered Group,"DELETE,GET,POST,PUT",success,,,0,0.082,
/db/UNIT,Unit System,"GET,PUT",success,,,1,0.1012,
/db/VBEM,Virtual Beam,"DELETE,GET,POST,PUT",success,,,0,0.0815,
/db/VSEC,Virtual Section,"DELETE,GET,POST,PUT",success,,,0,0.0834,
/db/WMAK,Modify Wall Mark,"DELETE,GET,POST,PUT",success,,,0,0.0797,
/db/WVLD,Wave Loads,"DELETE,GET,POST,PUT",error,404,MidasNotFoundError,,0.088,GET and /info both returned 404.
